iter	RMSE
0	0.1176508179
1	0.1166311057
2	0.1157687507
3	0.1149031199
4	0.1141137486
5	0.1133975387
6	0.1126918159
7	0.1120705489
8	0.1115008644
9	0.1108858066
10	0.11037371
11	0.1098397239
12	0.1093123067
13	0.1088490371
14	0.1084598814
15	0.1080566748
16	0.1076480309
17	0.1072278594
18	0.1068748574
19	0.1064898093
20	0.1061600076
21	0.1058539134
22	0.1055658544
23	0.1053067677
24	0.1050165244
25	0.1047862977
26	0.1045361668
27	0.1042852579
28	0.1040804798
29	0.1038428046
30	0.1036316347
31	0.1034477339
32	0.1032482272
33	0.1030164273
34	0.1029031187
35	0.102753084
36	0.1026135065
37	0.1024693014
38	0.1023664513
39	0.1022710184
40	0.1021537683
41	0.1020598323
42	0.1019358944
43	0.1018342514
44	0.1017524994
45	0.1016035018
46	0.1015022164
47	0.1013520953
48	0.1012216713
49	0.1011694752
50	0.1011154355
51	0.1010466957
52	0.1009523002
53	0.1008821349
54	0.1008438348
55	0.1007455519
56	0.1006950832
57	0.1006405161
58	0.1005314822
59	0.1004771993
60	0.1004340727
61	0.1003581576
62	0.1002820827
63	0.1002520275
64	0.1001998798
65	0.1001532089
66	0.1000975285
67	0.1000590641
68	0.1000147507
69	0.09993695089
70	0.09987251829
71	0.09981589832
72	0.09976336833
73	0.09974038643
74	0.09970314669
75	0.0996735487
76	0.09963146816
77	0.09958033444
78	0.09953177417
79	0.09947921924
80	0.09942248557
81	0.09938595219
82	0.09935516054
83	0.09928714647
84	0.09925606015
85	0.09922209817
86	0.09917148265
87	0.09914612535
88	0.09911146349
89	0.099094281
90	0.09908209578
91	0.09905962538
92	0.09903511138
93	0.09900572966
94	0.09899209027
95	0.09896225802
96	0.09892705509
97	0.09889690462
98	0.09887837168
99	0.09885399399
100	0.09884551314
101	0.09883090367
102	0.09878431968
103	0.09877748062
104	0.09874467802
105	0.09871468897
106	0.09868426722
107	0.09864778891
108	0.09862762277
109	0.09860226888
110	0.09856894624
111	0.09854785851
112	0.09852469439
113	0.09851221423
114	0.09849711821
115	0.09848044044
116	0.09845109972
117	0.09841403629
118	0.09838901642
119	0.09838205678
120	0.09835900339
121	0.09834002462
122	0.09831670308
123	0.09829280648
124	0.09828410528
125	0.09827090478
126	0.09824478794
127	0.0982361995
128	0.09822309597
129	0.09820928798
130	0.0981976521
131	0.09818194997
132	0.09815194684
133	0.09813289218
134	0.09810812489
135	0.09808674114
136	0.09805993652
137	0.09804381948
138	0.09803278927
139	0.09800789613
140	0.09799965669
141	0.09797959659
142	0.0979602992
143	0.09795405908
144	0.09794605438
145	0.09793442622
146	0.0979251011
147	0.0979037248
148	0.09788940053
149	0.09787702803
150	0.09783918981
151	0.09782224183
152	0.09779642263
153	0.09778599079
154	0.09777943469
155	0.09776431102
156	0.09773365867
157	0.09772820482
158	0.09770520485
159	0.0976914828
160	0.09768022809
161	0.09766650392
162	0.09764364958
163	0.09763614862
164	0.09760706774
165	0.0975853652
166	0.09757527597
167	0.0975484379
168	0.09752633826
169	0.09749921391
170	0.09747903754
171	0.09747204893
172	0.09745811893
173	0.09741150719
174	0.09739101219
175	0.0973873004
176	0.09737641742
177	0.09736298163
178	0.09733917459
179	0.09731866161
180	0.09728497925
181	0.09727708974
182	0.09726160565
183	0.09724794363
184	0.09723021647
185	0.09722130659
186	0.09720469919
187	0.09718998491
188	0.09716785365
189	0.09713457689
190	0.09708651943
191	0.09706401416
192	0.09705765854
193	0.09703442562
194	0.09700374629
195	0.0969539419
196	0.09692918251
197	0.0968888588
198	0.09684693904
199	0.09680231612
200	0.09678815945
201	0.0967526087
202	0.09673755622
203	0.09670982982
204	0.09666799005
205	0.09663097427
206	0.09662463319
207	0.096597883
208	0.09655643991
209	0.09653263447
210	0.09651298542
211	0.09650300358
212	0.0964794625
213	0.09647343115
214	0.0964449622
215	0.09641955357
216	0.09640790315
217	0.09638472682
218	0.0963521862
219	0.09633624381
220	0.09629903779
221	0.09627470253
222	0.09625287997
223	0.096239369
224	0.09621201121
225	0.09618171447
226	0.09614365301
227	0.09611484291
228	0.09609276356
229	0.09606262887
230	0.096056424
231	0.09603564358
232	0.09602918722
233	0.09599187548
234	0.0959695145
235	0.09594614512
236	0.0959202946
237	0.09589869853
238	0.0958705814
239	0.09585940841
240	0.09585172322
241	0.09581967447
242	0.0958037071
243	0.09579719152
244	0.095777468
245	0.09574820628
246	0.0957288018
247	0.09571114554
248	0.09569750687
249	0.09569098756
250	0.09568473811
251	0.09564427062
252	0.09563730499
253	0.09561178012
254	0.09559311963
255	0.09558371161
256	0.09556559933
257	0.09555940924
258	0.09555041301
259	0.09551925857
260	0.09550175079
261	0.09548619717
262	0.09547227981
263	0.09545324084
264	0.09543842305
265	0.09543330705
266	0.09540462269
267	0.09538980395
268	0.09536318403
269	0.09533393977
270	0.09531029396
271	0.09528627593
272	0.09526875763
273	0.09524309795
274	0.09523684406
275	0.09521832043
276	0.09520511792
277	0.09518996055
278	0.095172072
279	0.09516724961
280	0.09515460992
281	0.09512202302
282	0.09509288671
283	0.09504030695
284	0.09501641609
285	0.09499347203
286	0.09498882375
287	0.09495540182
288	0.09494043047
289	0.09490955118
290	0.09486915941
291	0.09485093489
292	0.09482469548
293	0.09476006978
294	0.0947569041
295	0.09472281817
296	0.09471835871
297	0.09465626794
298	0.09464185383
299	0.09461240578
300	0.09459983077
301	0.09459118879
302	0.09456287478
303	0.09455999369
304	0.09454815918
305	0.0945236672
306	0.09451908852
307	0.09447070196
308	0.09444759013
309	0.09443417931
310	0.09440647595
311	0.0943935358
312	0.09436753952
313	0.09436235698
314	0.09435241158
315	0.09434146026
316	0.09432756189
317	0.09431707221
318	0.09430324338
319	0.09427680112
320	0.09427358251
321	0.09424474318
322	0.09423136765
323	0.09419329779
324	0.09418231695
325	0.09417613739
326	0.09413637412
327	0.0941325309
328	0.09410305678
329	0.09407089519
330	0.09406055815
331	0.09404971
332	0.0940292371
333	0.09402223305
334	0.09401168208
335	0.09399905885
336	0.09397037931
337	0.09394453377
338	0.09391262616
339	0.09388461544
340	0.09385051592
341	0.09382892028
342	0.09380317708
343	0.09377914304
344	0.09375038194
345	0.09372148884
346	0.09369846328
347	0.09368928066
348	0.09367858126
349	0.09365416928
350	0.09363937495
351	0.09362699369
352	0.09360394181
353	0.09358107746
354	0.09357025199
355	0.09354526557
356	0.0935228795
357	0.09349963332
358	0.0934580873
359	0.09343400424
360	0.09341414851
361	0.09337604646
362	0.09335043334
363	0.09332720891
364	0.09329730052
365	0.09327934013
366	0.0932696042
367	0.09322480263
368	0.0932154469
369	0.0931925247
370	0.09318391804
371	0.09317292115
372	0.09315088583
373	0.09314705575
374	0.09313831763
375	0.09309117015
376	0.09305519288
377	0.09304504072
378	0.09302500838
379	0.09301797206
380	0.09300308348
381	0.09299567338
382	0.09296734928
383	0.09295470915
384	0.09293844229
385	0.09293111598
386	0.09291956438
387	0.09290254304
388	0.09288676482
389	0.09286365811
390	0.09284144942
391	0.09280577037
392	0.09278892354
393	0.0927685309
394	0.09276075309
395	0.09275302635
396	0.09275055769
397	0.09274411359
398	0.09271834368
399	0.09271537703
400	0.09268032733
401	0.09267208571
402	0.09264470252
403	0.09259719085
404	0.0925753868
405	0.09253860723
406	0.09253206166
407	0.09252315918
408	0.09250097644
409	0.09246557053
410	0.09243820141
411	0.09242204653
412	0.09241494196
413	0.09237131394
414	0.09235205142
415	0.0923291826
416	0.09229611845
417	0.09228057458
418	0.09227380755
419	0.09225969942
420	0.09225626422
421	0.09223543726
422	0.09222881833
423	0.09221539963
424	0.09220817398
425	0.09217541474
426	0.09216237595
427	0.09215988139
428	0.09213316961
429	0.09211587313
430	0.09207728403
431	0.09205536775
432	0.09202603462
433	0.0919977026
434	0.09199178609
435	0.09197242853
436	0.09196651002
437	0.09193141137
438	0.09190960428
439	0.09187680535
440	0.09185847713
441	0.09183248652
442	0.0918197022
443	0.09180904416
444	0.0918048229
445	0.0917651569
446	0.09175931601
447	0.09174380843
448	0.09173824807
449	0.09171865485
450	0.09169339435
451	0.09167813268
452	0.09165821957
453	0.09161726139
454	0.09160025772
455	0.09159593897
456	0.09158798618
457	0.09155209355
458	0.09152928763
459	0.09152360025
460	0.09151139774
461	0.09150036767
462	0.09149573242
463	0.09148926918
464	0.09147814853
465	0.09147524766
466	0.0914732179
467	0.09146019457
468	0.09143003827
469	0.09140832523
470	0.09140240728
471	0.0913855109
472	0.09136910148
473	0.09135495671
474	0.09134112445
475	0.09133126031
476	0.09131818524
477	0.0913123363
478	0.09128967572
479	0.09126953875
480	0.0912583132
481	0.09125392002
482	0.09124885859
483	0.09124385012
484	0.09123378375
485	0.09121997548
486	0.09121509927
487	0.09116870487
488	0.09116147128
489	0.09115791571
490	0.09114406601
491	0.09109499154
492	0.09108046093
493	0.09105605366
494	0.09103973429
495	0.09101122645
496	0.09100568207
497	0.09098664459
498	0.09097441358
499	0.09096923716
500	0.09096240567
501	0.09091592358
502	0.09090151877
503	0.09086638572
504	0.09085048979
505	0.09083139203
506	0.09079740196
507	0.09078048433
508	0.09076577551
509	0.09076070264
510	0.09074579219
511	0.09073754187
512	0.09072074728
513	0.09070943141
514	0.09069853655
515	0.09068389319
516	0.09066451582
517	0.0906298657
518	0.09061515617
519	0.09060733343
520	0.09059367329
521	0.0905925433
522	0.0905886303
523	0.09057406903
524	0.0905365962
525	0.09052792445
526	0.09052242098
527	0.0904993146
528	0.09048730414
529	0.09048405086
530	0.09048273795
531	0.09045057726
532	0.0904161501
533	0.09040170815
534	0.09036621212
535	0.09033596544
536	0.09032322685
537	0.09028047111
538	0.09027653407
539	0.09024912676
540	0.09023252257
541	0.09019919294
542	0.09018158497
543	0.09016381522
544	0.09015324532
545	0.09014557459
546	0.09011838398
547	0.09010617404
548	0.09009003561
549	0.09008611908
550	0.09008281955
551	0.09007824805
552	0.09007487678
553	0.09006999683
554	0.09004710577
555	0.09004368313
556	0.09001199991
557	0.09000068602
558	0.08996798114
559	0.08994295969
560	0.08993041231
561	0.08991316133
562	0.08990991407
563	0.08989792659
564	0.08988956231
565	0.08988798574
566	0.08986540972
567	0.0898524172
568	0.0898070889
569	0.08979182925
570	0.08978753981
571	0.08976624481
572	0.08975535467
573	0.08972366141
574	0.08971872147
575	0.08967472659
576	0.08965560687
577	0.08965058764
578	0.08962862551
579	0.08962591224
580	0.08961077758
581	0.08959899263
582	0.08956412154
583	0.08955885537
584	0.08954779479
585	0.08954476925
586	0.08953330487
587	0.08952769697
588	0.08952338958
589	0.08951077092
590	0.0894992856
591	0.08947600378
592	0.08946693993
593	0.08944191206
594	0.08943177328
595	0.08941890566
596	0.0894087619
597	0.08936628335
598	0.08933737358
599	0.08931466171
600	0.08929658401
601	0.08929333222
602	0.08926340986
603	0.08926114669
604	0.08925683376
605	0.08924689492
606	0.08923411087
607	0.08922209513
608	0.0891916004
609	0.08918648647
610	0.08917601446
611	0.08914642123
